ID,NOMBRE,SEDE,PROG,NIVEL,Estatus,% BECA,CARGOS,ECA,DEPP,AJUSTADO,PAGADO,SALDO,SALDO VENCIDO,NCV,C,B,A,P,S,%,C,B,A,P,S,%,C,B,A,P,S,%,C,B,A,P,S,%
63,Nombre63,CAM,LIC-EJDE-17,LI,AS,,12528,0,0,12528,4764,7764,0.5,1,2382,0,2382,2381.5,0.5,99.97,2382,0,2382,2382,0,100,2382,0,2382,0.5,2381.5,0.0209,2382,0,2382,0,2382,0
64,Nombre64,CAM,LIC-EJCO-17,LI,AS,,12528,0,0,12528,6264,6264,0.5,1,2382,0,2382,2381.5,0.5,99.97,2382,0,2382,2382,0,100,2382,0,2382,0.5,2381.5,0.0209,2382,0,2382,0,2382,0
65,Nombre65,CAM,LIC-EJME-17,LI,AS,703,12528,0,0,12528,7931.51,4596.49,0,0,2382,833.7,1548.3,1548.3,0,100,2382,833.7,1548.3,1548.3,0,100,2382,833.7,1548.3,0.11,1548.19,0.0071,2382,833.7,1548.3,0,1548.3,0
66,Nombre66,CAM,LIC-EJCO-17,LI,AS,,13956,0,0,13956,6740,7216,0.5,1,2382,0,2382,2381.5,0.5,99.97,2858,0,2858,2858,0,100,2858,0,2858,0.5,2857.5,0.0174,2858,0,2858,0,2858,0
67,Nombre67,CAM,LIC-EJDE-17,LI,AS,,9766.1,0,0,9766.1,2382.2,7383.9,2619.9,3,2382,0,2382,2381.5,0.5,99.97,2382,0,2382,0.7,2381.3,0.0293,2382,0,2382,0,2382,0,2382,0,2382,0,2382,0
68,Nombre68,CAM,LIC-EJDE-17,LI,AS,4,8602,0,0,8602,6134.41,2467.59,0,0,2143,857.2,1285.8,1285.8,0,100,2057,822.8,1234.2,1234.2,0,100,2057,822.8,1234.2,0.81,1233.39,0.0656,2057,822.8,1234.2,0,1234.2,0
69,Nombre69,CAM,LIC-EJDE-17,LI,AS,,12962,0,0,12962,5570,7392,0.18,1,2143,0,2143,2142.82,0.18,99.99,2571,0,2571,2571,0,100,2571,0,2571,0.18,2570.82,0.007,2571,0,2571,0,2571,0
70,Nombre70,CAM,LIC-EJDE-17,LI,AS,,13219.1,0,0,13219.1,2249.22,10969.88,4327.88,4,2143,0,2143,2143,0,100,2571,0,2571,0.22,2570.78,0.0085,2571,0,2571,0,2571,0,2571,0,2571,0,2571,0
71,Nombre71,CAM,LIC-EJME-17,LI,AS,300,11729.84,0,0,11729.84,6286.72,5443.12,0,0,2143,171.44,1971.56,1971.56,0,100,2143,171.44,1971.56,1971.56,0,100,2143,171.44,1971.56,0,1971.56,0,2143,171.44,1971.56,0,1971.56,0
72,Nombre72,CAM,LIC-EJAD-17,LI,AS,,11786.3,0,0,11786.3,2143,9643.3,3857.3,5,2143,0,2143,2142.82,0.18,99.99,2143,0,2143,0.18,2142.82,0.0083,2143,0,2143,0,2143,0,2143,0,2143,0,2143,0
73,Nombre73,CAM,LIC-DERE-15,LI,AS,,17275,0,0,17275,8847,8428,0,0,3883,0,3883,3883,0,100,3464,0,3464,3464,0,100,3464,0,3464,0,3464,0,3464,0,3464,0,3464,0
74,Nombre74,CAM,LIC-EJDE-17,LI,AS,401,8693,0,0,8693,2957.04,5735.96,2034.98,2,2127,276.51,1850.49,1850.49,0,100,2127,276.51,1850.49,0.51,1849.98,0.0275,2127,276.51,1850.49,0,1850.49,0,2127,276.51,1850.49,0,1850.49,0
75,Nombre75,CAM,LIC-EJCO-17,LI,AS,,8631.36,0,0,8631.36,4377.36,4254,0,0,2127,0,2127,2127,0,100,2127,0,2127,2127,0,100,2127,0,2127,0,2127,0,2127,0,2127,0,2127,0
76,Nombre76,CAM,LIC-EDFI-18,LI,AS,402,14044,0,0,14044,8795.5,5248.5,0,0,3697,924.25,2772.75,2772.75,0,100,3299,824.75,2474.25,2474.25,0,100,3299,824.75,2474.25,0,2474.25,0,3299,824.75,2474.25,0,2474.25,0
77,Nombre77,CAM,LIC-COFI-18,LI,AS,,13594,0,0,13594,6996.49,6597.51,0,0,3697,0,3697,3697,0,100,3299,0,3299,3299,0,100,3299,0,3299,0.49,3298.51,0.0148,3299,0,3299,0,3299,0
78,Nombre78,CAM,LIC-EJME-17,LI,AS,1,9723.6,0,0,9723.6,3287.8,6435.8,2283.2,2,2307,230.7,2076.3,2076.3,0,100,2307,230.7,2076.3,0.7,2075.6,0.0337,2307,230.7,2076.3,0,2076.3,0,2307,230.7,2076.3,0,2076.3,0
79,Nombre79,CAM,LIC-COFI-18,LI,AS,,13594,0,0,13594,6996,6598,0.11,1,3697,0,3697,3696.89,0.11,99.99,3299,0,3299,3299,0,100,3299,0,3299,0.11,3298.89,0.0033,3299,0,3299,0,3299,0
80,Nombre80,CAM,LIC-ADME-18,LI,AS,,,0,0,,3697,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
81,Nombre81,CAM,LIC-DERE-18,LI,AS,,14031.11,0,0,14031.11,3804.1,10227.01,3629.01,3,3697,0,3697,3696.89,0.11,99.99,3299,0,3299,0,3299,0,3299,0,3299,0,3299,0,3299,0,3299,0,3299,0
82,Nombre82,CAM,MAE-MERD-15,MA,PT,,10162.17,0,0,10162.17,2596.17,7566,2522,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
